2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table LINK_CONTACT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_VACANT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_NOACCESS
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table NON_INTERVIEW_RPT_REFUSAL
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_MEDIA
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table INCIDENT_UNANTICIPATED
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_STAFF
2010/11/08 11:16:36 INFO - Ncs::Ncs::insert_tables - Generating xml for table OUTREACH_EVAL
2010/11/08 11:16:36 INFO - main:: - Application completed in 1 seconds.
2010/11/08 11:16:45 INFO - main:: - ** NCS Data Transmission File Generator **
2010/11/08 11:16:46 DEBUG - Ncs::Soap::SoapNcs::init - SOAP session id is:j1t4qf3pflo8fdc2b3bh74h6b5
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STUDY_CENTER
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LISTING_UNIT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table SSU
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table TSU
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table PSU
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table DWELLING_UNIT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table LING_HOUSEHOLD_DWELLING
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table HOUSEHOLD_UNIT
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_LANGUAGE
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_VALIDATION
2010/11/08 11:16:46 INFO - Ncs::Ncs::insert_tables - Generating xml for table STAFF_WEEKLY_EXPENSE
